"sep=	"
S29_Timestamp_CAL	S29_RealTime_CAL	S29_GSR_CAL	S29_Quat_MPL_6DOF_W_CAL	S29_Quat_MPL_6DOF_X_CAL	S29_Quat_MPL_6DOF_Y_CAL	S29_Quat_MPL_6DOF_Z_CAL	S29_Gyro_MPU_MPL_X_CAL	S29_Gyro_MPU_MPL_Y_CAL	S29_Gyro_MPU_MPL_Z_CAL	S29_Accel_MPU_MPL_X_CAL	S29_Accel_MPU_MPL_Y_CAL	S29_Accel_MPU_MPL_Z_CAL	S29_Mag_MPU_MPL_X_CAL	S29_Mag_MPU_MPL_Y_CAL	S29_Mag_MPU_MPL_Z_CAL	S29_Date	
msecs	msecs	kOhms	no units	no units	no units	no units	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	uTesla	uTesla	uTesla	dd_MMM_yyyy_HH:MM:SS.FFF	
493751516.693115	1487863329085.21	-40.0136046255727	0.900337994098663	0.225358814001083	0.372296959161758	-2.74740159511566e-07	-97.19970703125	300.385726928711	196.142562866211	-0.83551025390625	0.505752563476563	0.77423095703125	16.3890075683594	-25.0114898681641	-31.3152008056641	23rd_Feb_2017_10:22:09.085
493751583.343506	1487863329151.86	-40.0136046255727	0.843330323696137	0.210472226142883	0.481346964836121	0.113139323890209	-100.98388671875	292.512191772461	167.333969116211	-1.05755615234375	0.310073852539062	0.35955810546875	19.3888854980469	-31.0112457275391	-25.0154571533203	23rd_Feb_2017_10:22:09.151
493751649.993896	1487863329218.51	-40.0136046255727	0.771618485450745	0.18312568962574	0.580596506595612	0.184330061078072	-39.70458984375	209.443344116211	98.6083831787109	-1.40423583984375	0.0586090087890625	-0.10516357421875	24.1886901855469	-34.6110992431641	-17.8157501220703	23rd_Feb_2017_10:22:09.218
493751716.644287	1487863329285.16	-40.0136046255727	0.699599921703339	0.172152236104012	0.668246507644653	0.185392379760742	51.11572265625	5.09764099121094	-9.79005432128906	-1.01800537109375	-0.141952514648438	0.18328857421875	23.5887145996094	-34.6110992431641	-13.6159210205078	23rd_Feb_2017_10:22:09.285
493751783.294678	1487863329351.81	-40.0136046255727	0.721381604671478	0.165144965052605	0.650930345058441	0.169190138578415	-11.0791015625	-38.7866363525391	-16.5649566650391	-0.66046142578125	0.126846313476563	0.61480712890625	22.6887512207031	-37.9109649658203	-11.5160064697266	23rd_Feb_2017_10:22:09.351
493751849.945068	1487863329418.46	-40.0136046255727	0.744064509868622	0.147501990199089	0.630359709262848	0.165098920464516	-26.9482421875	-20.1098785400391	-2.22169494628906	-0.46551513671875	0.131973266601563	0.54266357421875	24.4886779785156	-37.0110015869141	-11.2160186767578	23rd_Feb_2017_10:22:09.418
493751916.595459	1487863329485.11	-40.0136046255727	0.723562002182007	0.127736777067184	0.652236223220825	0.186357691884041	-12.0556640625	52.2778167724609	16.0888519287109	-0.97515869140625	0.180801391601563	0.19903564453125	24.1886901855469	-34.6110992431641	-11.5160064697266	23rd_Feb_2017_10:22:09.485
493751983.24585	1487863329551.76	-40.0136046255727	0.717876970767975	0.119947455823421	0.656438291072845	0.198378577828407	-28.4130859375	42.9394378662109	13.3422698974609	-0.85101318359375	0.366836547851562	0.37127685546875	25.3886413574219	-35.2110748291016	-10.0160675048828	23rd_Feb_2017_10:22:09.551
493752049.89624	1487863329618.41	-40.0136046255727	0.69353175163269	0.10760759562254	0.677024483680725	0.221522018313408	-38.7890625	129.243148803711	22.3754730224609	-0.88043212890625	0.375503540039062	0.26873779296875	23.8887023925781	-37.0110015869141	-6.71620178222656	23rd_Feb_2017_10:22:09.618
493752116.546631	1487863329685.06	-40.0136046255727	0.610324025154114	0.0742632448673248	0.739374160766602	0.274436742067337	-29.8779296875	148.530258178711	40.0146331787109	-1.14971923828125	0.423355102539063	-0.06207275390625	23.5887145996094	-37.3109893798828	-8.51612854003906	23rd_Feb_2017_10:22:09.685
493752183.197022	1487863329751.71	-40.0136046255727	0.574980616569519	0.0638530850410461	0.761959969997406	0.29109662771225	-16.572265625	90.1196136474609	30.7372894287109	-0.91571044921875	0.376968383789062	-0.13909912109375	24.4886779785156	-37.0110015869141	-4.01631164550781	23rd_Feb_2017_10:22:09.751
493752249.847412	1487863329818.36	-40.0136046255727	0.552637934684753	0.0534186996519566	0.777843296527863	0.294444471597672	-6.07421875	35.1879730224609	9.19187927246094	-1.04156494140625	0.297378540039062	-0.20306396484375	22.3887634277344	-38.2109527587891	0.483505249023438	23rd_Feb_2017_10:22:09.818
493752316.497803	1487863329885.01	-40.0136046255727	0.550680935382843	0.043622437864542	0.781988084316254	0.288690656423569	-3.57177734375	19.0136566162109	-5.51759338378906	-0.93072509765625	0.380264282226562	-0.14935302734375	25.0886535644531	-38.2109527587891	-1.61640930175781	23rd_Feb_2017_10:22:09.885
493752383.148193	1487863329951.66	-40.0136046255727	0.553976953029633	0.0349247753620148	0.78078293800354	0.286823570728302	-10.16357421875	-12.7246246337891	-16.8090972900391	-0.91815185546875	0.397598266601562	-0.12530517578125	23.5887145996094	-38.8109283447266	-2.21638488769531	23rd_Feb_2017_10:22:09.951
493752449.798584	1487863330018.31	-40.0136046255727	0.560729801654816	0.0274114031344652	0.776782274246216	0.285376846790314	-8.515625	-2.34864807128906	-11.8042144775391	-0.91156005859375	0.369033813476562	-0.16400146484375	22.9887390136719	-37.6109771728516	-2.51637268066406	23rd_Feb_2017_10:22:10.018
493752516.448975	1487863330084.96	-40.0136046255727	0.570185124874115	0.0257319826632738	0.770779132843018	0.283066153526306	1.55517578125	-4.05763244628906	-0.451675415039063	-0.88958740234375	0.442764282226563	-0.09576416015625	25.0886535644531	-37.6109771728516	-1.61640930175781	23rd_Feb_2017_10:22:10.084
493752583.099365	1487863330151.61	-40.0136046255727	0.572891056537628	0.0282572340220213	0.768341183662415	0.283987879753113	2.470703125	-2.71485900878906	2.53904724121094	-0.92974853515625	0.436294555664063	-0.12274169921875	25.0886535644531	-38.2109527587891	-3.11634826660156	23rd_Feb_2017_10:22:10.151
493752649.749756	1487863330218.26	-40.0136046255727	0.575237691402435	0.0271300598978996	0.766983509063721	0.283022850751877	-4.365234375	-6.86524963378906	-6.00587463378906	-0.95697021484375	0.401260375976563	-0.12738037109375	25.0886535644531	-37.6109771728516	-4.01631164550781	23rd_Feb_2017_10:22:10.218
493752716.400147	1487863330284.91	-40.0136046255727	0.593830943107605	0.018001701682806	0.75456565618515	0.278696089982986	-6.9287109375	-24.6875152587891	-18.7011871337891	-0.90130615234375	0.358291625976562	-0.03790283203125	22.3887634277344	-37.6109771728516	-1.61640930175781	23rd_Feb_2017_10:22:10.284
493752783.050537	1487863330351.56	-40.0136046255727	0.603761255741119	0.0119056571274996	0.747824192047119	0.275843441486359	-6.318359375	-16.3867340087891	-13.0249176025391	-0.89154052734375	0.320083618164062	-0.05157470703125	26.8885803222656	-35.8110504150391	-2.81636047363281	23rd_Feb_2017_10:22:10.351
493752849.700928	1487863330418.21	-40.0136046255727	0.612557053565979	0.00928593799471855	0.741101086139679	0.2746941447258	-6.74560546875	-19.3164215087891	-6.92140197753906	-0.84857177734375	0.334487915039062	-0.04766845703125	24.7886657714844	-35.8110504150391	-5.81623840332031	23rd_Feb_2017_10:22:10.418
493752916.351318	1487863330484.86	-40.0136046255727	0.621119737625122	0.00986772961914539	0.733873307704926	0.274850577116013	-2.16796875	-13.3349761962891	-1.36720275878906	-0.91033935546875	0.337051391601562	-0.03948974609375	25.3886413574219	-35.2110748291016	-5.81623840332031	23rd_Feb_2017_10:22:10.484
493752983.001709	1487863330551.51	-40.0136046255727	0.626661598682404	0.00966372899711132	0.729252934455872	0.274576097726822	-3.2666015625	-11.5649566650391	-2.34376525878906	-0.93316650390625	0.353164672851562	0.00677490234375	26.5885925292969	-34.9110870361328	-5.21626281738281	23rd_Feb_2017_10:22:10.551
493753049.6521	1487863330618.16	-40.0136046255727	0.631171762943268	0.00768535770475864	0.725396692752838	0.274522751569748	-6.4404296875	-9.12355041503906	-3.13722229003906	-0.92352294921875	0.328750610351562	-0.02740478515625	26.2886047363281	-35.8110504150391	-7.01618957519531	23rd_Feb_2017_10:22:10.618
493753116.30249	1487863330684.81	-40.0136046255727	0.635054349899292	0.00468238443136215	0.721463143825531	0.275998175144196	-6.1962890625	-5.15626525878906	-1.97755432128906	-0.93341064453125	0.308731079101562	0.00482177734375	26.5885925292969	-35.5110626220703	-7.61616516113281	23rd_Feb_2017_10:22:10.684
493753182.952881	1487863330751.46	-40.0136046255727	0.638514041900635	0.00230441894382238	0.718488216400147	0.27580651640892	-3.14453125	-5.46144104003906	-1.91651916503906	-0.91436767578125	0.323135375976562	0.02239990234375	26.5885925292969	-37.6109771728516	-6.71620178222656	23rd_Feb_2017_10:22:10.751
493753249.603271	1487863330818.12	-40.0136046255727	0.639306783676147	0.000437431037425995	0.717751741409302	0.275897026062012	-2.35107421875	6.01316833496094	0.158676147460938	-0.95501708984375	0.328262329101562	0.00628662109375	25.9886169433594	-35.5110626220703	-7.61616516113281	23rd_Feb_2017_10:22:10.818
493753316.253662	1487863330884.77	-40.0136046255727	0.641194343566895	-0.00135772302746773	0.716240227222443	0.275441199541092	-2.22900390625	3.69383239746094	-0.329605102539062	-0.93292236328125	0.316177368164062	0.03167724609375	26.8885803222656	-35.2110748291016	-6.41621398925781	23rd_Feb_2017_10:22:10.884
493753382.904053	1487863330951.42	-40.0136046255727	0.642373204231262	-0.0033814525231719	0.715345799922943	0.275000989437103	-1.5576171875	-0.456558227539063	-0.390640258789062	-0.93609619140625	0.317031860351562	0.02740478515625	27.7885437011719	-34.9110870361328	-8.81611633300781	23rd_Feb_2017_10:22:10.951
493753449.554443	1487863331018.07	-40.0136046255727	0.643720805644989	-0.0053339097648859	0.714392423629761	0.274296432733536	-2.0458984375	0.581039428710938	-0.390640258789062	-0.93206787109375	0.304336547851562	0.01922607421875	27.4885559082031	-34.6110992431641	-6.41621398925781	23rd_Feb_2017_10:22:11.018
493753516.204834	1487863331084.72	-40.0136046255727	0.644501626491547	-0.00691542960703373	0.713811635971069	0.27393901348114	-0.947265625	1.74070739746094	-0.390640258789062	-0.92181396484375	0.306045532226562	0.02630615234375	26.5885925292969	-34.3111114501953	-7.61616516113281	23rd_Feb_2017_10:22:11.084
493753582.855225	1487863331151.37	-40.0136046255727	0.644528210163116	-0.00849752873182297	0.714020609855652	0.27328696846962	-0.52001953125	2.77830505371094	-0.0244293212890625	-0.95025634765625	0.319107055664062	0.00946044921875	25.0886535644531	-34.9110870361328	-7.61616516113281	23rd_Feb_2017_10:22:11.151
