0,-0.41,1.494,0.173,-0.409,1.423,0.164,0.23,1.458,0.102,-0.131,1.186,0.229,-0.491,1.028,0.425,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,1
1,-0.409,1.423,0.164,0.23,1.458,0.102,-0.131,1.186,0.229,-0.491,1.028,0.425,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,2
1,0.23,1.458,0.102,-0.131,1.186,0.229,-0.491,1.028,0.425,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,3
1,-0.131,1.186,0.229,-0.491,1.028,0.425,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,4
1,-0.491,1.028,0.425,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,5
1,-0.363,0.827,0.518,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,6
1,-0.442,0.662,0.546,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,7
1,-0.333,0.623,0.451,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,-0.208,0.013,0.942,8
1,-0.325,0.456,0.539,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,-0.208,0.013,0.942,-0.177,0.035,0.999,9
1,-0.382,0.444,0.42,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,-0.208,0.013,0.942,-0.177,0.035,0.999,-0.187,0.104,0.985,10
1,-0.264,0.415,0.518,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,-0.208,0.013,0.942,-0.177,0.035,0.999,-0.187,0.104,0.985,-0.233,0.063,0.9,11
1,-0.058,0.349,0.662,0.018,0.424,0.804,0.004,0.263,0.664,-0.157,0.188,0.872,-0.156,0.275,1.03,-0.075,0.252,0.931,-0.119,0.126,0.824,-0.15,0.116,0.904,-0.241,0.059,0.962,-0.245,0.032,0.929,-0.208,0.013,0.942,-0.177,0.035,0.999,-0.187,0.104,0.985,-0.233,0.063,0.9,-0.202,0.003,0.927,12
