1	-0.179	0.269	0.764	-0.169	0.230	0.800	-0.160	0.206	0.830	-0.150	0.181	0.862	-0.146	0.153	0.889	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962
1	-0.169	0.230	0.800	-0.160	0.206	0.830	-0.150	0.181	0.862	-0.146	0.153	0.889	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964
0	-0.160	0.206	0.830	-0.150	0.181	0.862	-0.146	0.153	0.889	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961
0	-0.150	0.181	0.862	-0.146	0.153	0.889	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960
0	-0.146	0.153	0.889	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965
0	-0.161	0.137	0.907	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967
0	-0.180	0.112	0.920	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969
0	-0.198	0.101	0.940	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967
0	-0.203	0.092	0.946	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966
0	-0.208	0.079	0.942	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967
0	-0.220	0.065	0.944	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967
