Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
27,regular,1,683,1,963,0.998538012,0.414945322,0.5883,0.586266094
27,irregular,1,145,636,638,0.185659411,0.185185185,2.9,0.185421995
27,semiregular,1,425,73,531,0.853413655,0.444560669,0.6868,0.584594223
27,regular,2,815,2,697,0.99755202,0.539021164,0.7033,0.699871189
27,irregular,2,169,924,928,0.154620311,0.154056518,4.063,0.1543379
27,semiregular,2,547,98,261,0.848062016,0.676980198,0.8901,0.752924983
27,regular,3,1108,24,89,0.978798587,0.925647452,0.9734,0.951481322
27,irregular,3,229,772,776,0.228771229,0.227860697,3.7222,0.228315055
27,semiregular,3,603,66,181,0.901345291,0.769132653,0.9231,0.830006882
28,regular,1,953,7,279,0.992708333,0.773538961,0.878,0.869525547
28,irregular,1,163,868,871,0.158098933,0.157640232,3.529,0.157869249
28,semiregular,1,680,112,242,0.858585859,0.737527115,0.9267,0.793465578
28,regular,2,582,4,1025,0.993174061,0.362165526,0.5364,0.530779754
28,irregular,2,173,993,996,0.148370497,0.147989735,3.9898,0.148179872
28,semiregular,2,513,67,623,0.884482759,0.451584507,0.6775,0.597902098
28,regular,3,1094,59,61,0.948829141,0.947186147,1.0519,0.948006932
28,irregular,3,245,917,919,0.210843373,0.2104811,3.9727,0.210662081
28,semiregular,3,784,78,81,0.909512761,0.906358382,1.007,0.907932831
29,regular,1,788,2,699,0.997468354,0.529926026,0.6956,0.692138779
29,irregular,1,127,491,492,0.205501618,0.205169628,2.5061,0.205335489
29,semiregular,1,644,156,291,0.805,0.688770053,0.9241,0.742363112
29,regular,2,657,1,962,0.998480243,0.405806053,0.5798,0.577075099
29,irregular,2,144,602,604,0.193029491,0.192513369,3.0283,0.192771084
29,semiregular,2,583,73,497,0.888719512,0.539814815,0.7572,0.671658986
29,regular,3,1066,3,142,0.997193639,0.882450331,0.9404,0.936319719
29,irregular,3,205,389,391,0.345117845,0.343959732,2.413,0.344537815
29,semiregular,3,688,147,213,0.823952096,0.763596004,0.9632,0.792626728
30,regular,1,732,9,517,0.987854251,0.586068855,0.7472,0.735678392
30,irregular,1,125,859,861,0.12703252,0.126774848,3.944,0.126903553
30,semiregular,1,567,75,407,0.88317757,0.582135524,0.7975,0.701732673
30,regular,2,677,1,636,0.998525074,0.5156131,0.683,0.680060271
30,irregular,2,128,976,978,0.115942029,0.115732369,4.424,0.115837104
30,semiregular,2,591,69,366,0.895454545,0.617554859,0.8185,0.730983302
30,regular,3,996,50,52,0.952198853,0.950381679,1.0512,0.951289398
30,irregular,3,223,1180,1182,0.158945118,0.158718861,5.62,0.158831909
30,semiregular,3,749,81,82,0.902409639,0.901323706,1.0259,0.901866346
,,,,,,,Average Type,RCA,SDA
,,,,,,,Overall,1.628,0.584
,,,,,,,Regular Gait,0.810,0.777
,,,,,,,Irregular Gait,3.154,0.213
,,,,,,,SemiRegular Gait,0.919,0.762
,,,,,,,Wrist Sensor,1.444,0.561
,,,,,,,Hip Sensor,1.602,0.508
,,,,,,,Ankle Sensor,1.837,0.683
