Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
26,semiregular,1,626,183,187,0.773794808,0.7699877,1.1292,0.77188656
26,regular,2,951,24,40,0.975384615,0.959636731,0.9939,0.967446592
26,irregular,2,154,754,757,0.169603524,0.169045005,4.257,0.169323804
26,semiregular,2,642,171,175,0.789667897,0.785801714,1.1347,0.787730061
26,regular,3,957,17,38,0.982546201,0.961809045,0.9898,0.972067039
26,irregular,3,185,177,179,0.511049724,0.508241758,1.7009,0.509641873
26,semiregular,3,667,106,107,0.862871928,0.861757106,1.075,0.862314156
27,regular,1,809,2,709,0.997533909,0.532938076,0.6981,0.694718763
27,irregular,1,126,571,572,0.180774749,0.180515759,2.5852,0.180645161
27,semiregular,1,439,71,505,0.860784314,0.465042373,0.7033,0.603851444
27,regular,2,992,2,341,0.997987928,0.744186047,0.8568,0.852599914
27,irregular,2,200,1213,1216,0.141542817,0.141242938,5.2444,0.141392718
27,semiregular,2,668,181,184,0.786808009,0.784037559,1.1703,0.785420341
27,regular,3,1097,3,134,0.997272727,0.89114541,0.9443,0.941226941
27,irregular,3,229,117,117,0.661849711,0.661849711,1.2852,0.661849711
27,semiregular,3,636,44,139,0.935294118,0.820645161,0.9354,0.874226804
28,regular,1,868,8,448,0.99086758,0.659574468,0.8015,0.791970803
28,irregular,1,123,706,706,0.148371532,0.148371532,2.8328,0.148371532
28,semiregular,1,717,122,160,0.854588796,0.817559863,0.979,0.835664336
28,regular,2,948,5,290,0.99475341,0.765751212,0.8725,0.865358284
28,irregular,2,190,1171,1172,0.139603233,0.139500734,4.6485,0.139551965
28,semiregular,2,774,147,152,0.840390879,0.835853132,1.078,0.838115864
28,regular,3,1017,19,141,0.981660232,0.878238342,0.9444,0.927073838
28,irregular,3,200,194,195,0.507614213,0.506329114,1.3481,0.506970849
28,semiregular,3,738,52,189,0.934177215,0.796116505,0.9208,0.859638905
29,regular,1,839,2,597,0.997621879,0.584261838,0.7404,0.736934563
29,irregular,1,118,449,451,0.208112875,0.207381371,2.3036,0.207746479
29,semiregular,1,734,214,218,0.774261603,0.771008403,1.0955,0.772631579
29,regular,2,997,2,279,0.997997998,0.781347962,0.8807,0.876483516
29,irregular,2,218,937,940,0.188744589,0.188255613,4.6883,0.188499784
29,semiregular,2,843,260,263,0.764279238,0.762206148,1.2727,0.763241286
29,regular,3,1035,11,197,0.989483748,0.840097403,0.9193,0.908691835
29,irregular,3,205,120,121,0.630769231,0.628834356,1.3198,0.629800307
29,semiregular,3,660,157,258,0.807833537,0.718954248,0.9436,0.760806916
30,regular,1,863,8,256,0.990815155,0.771224307,0.8776,0.867336683
30,irregular,1,112,782,782,0.125279642,0.125279642,3.58,0.125279642
