Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
20,irregular,3,237,23157,4433,0.010130803,0.050749465,18.5317,0.016889966
20,semiregular,3,805,15061,4938,0.050737426,0.140170643,6.8288,0.074505993
21,regular,1,892,7162,4192,0.110752421,0.1754524,5.5261,0.135789313
21,irregular,1,187,28304,2975,0.006563476,0.059139785,15.5,0.011815626
21,semiregular,1,526,15231,7418,0.033381989,0.066213494,14.4699,0.044386313
21,regular,2,836,3222,409,0.206012814,0.671485944,0.6467,0.31529323
21,irregular,2,185,29392,3438,0.00625486,0.051062655,17.7598,0.011144578
21,semiregular,2,521,9767,1405,0.050641524,0.270508827,3.5082,0.085311937
21,regular,3,846,3383,84,0.200047293,0.909677419,1.0109,0.327970537
21,irregular,3,193,30452,1106,0.006297928,0.148575828,6.3676,0.012083646
21,semiregular,3,517,14282,3465,0.034934793,0.129834254,7.2532,0.055055641
22,regular,1,872,8329,1859,0.094772307,0.319296961,2.8869,0.146161582
22,irregular,1,223,28532,1249,0.007755173,0.151494565,5.9595,0.01475502
22,semiregular,1,656,15657,4221,0.040213327,0.134508919,6.9374,0.061915998
22,regular,2,795,2342,889,0.253426841,0.472090261,0.2199,0.329807094
22,irregular,2,218,25889,4454,0.008350251,0.046660959,18.915,0.014165502
22,semiregular,2,647,8794,1623,0.068530876,0.285022026,-1.229,0.110494407
22,regular,3,896,8743,2111,0.092955701,0.2979714,3.1786,0.141704887
22,irregular,3,227,28464,1372,0.007911889,0.141963727,6.4737,0.014988445
22,semiregular,3,668,13305,4992,0.047806484,0.118021201,8.0512,0.068048694
23,regular,1,968,7644,3213,0.112401301,0.231523559,4.1852,0.15133276
23,irregular,1,229,44079,2326,0.005168367,0.08962818,-7.6053,0.009773169
23,semiregular,1,782,15319,3328,0.048568412,0.19026764,4.9222,0.077383603
23,regular,2,922,5917,1838,0.134815031,0.334057971,2.7628,0.192103344
23,irregular,2,231,40802,13591,0.005629615,0.016712487,51.9624,0.008422204
23,semiregular,2,752,9852,1303,0.070916635,0.36593674,2.4611,0.118808753
23,regular,3,943,6595,2300,0.125099496,0.290780142,3.2462,0.17493739
23,irregular,3,251,49152,12264,0.005080663,0.020055933,47.0489,0.008107497
23,semiregular,3,766,12505,4430,0.05771984,0.147421093,6.2228,0.082958791
24,regular,1,1061,11956,7663,0.081508796,0.121618524,8.0853,0.097603606
24,irregular,1,219,42066,12350,0.005179142,0.017423821,50.8866,0.007984832
24,semiregular,1,657,11537,4535,0.053878957,0.126540832,7.6353,0.075578051
24,regular,2,1001,11610,4013,0.079375149,0.199641005,4.6469,0.113588652
24,irregular,2,226,33424,8327,0.006716196,0.026423477,34.6275,0.010710139
24,semiregular,2,655,8419,4118,0.072184263,0.137230254,7.0191,0.09460533
24,regular,3,1044,10582,5095,0.089798727,0.17006027,5.6895,0.117534478
24,irregular,3,235,33017,4267,0.007067244,0.052199023,-16.2267,0.012449012
24,semiregular,3,656,8509,3855,0.07157665,0.145422301,6.6338,0.095934484
25,regular,1,909,7449,3934,0.108758076,0.187693578,5.1195,0.13771684
25,irregular,1,186,55240,14606,0.003355826,0.012574365,71.4589,0.005297787
25,semiregular,1,687,13247,5682,0.049303861,0.107866227,8.8705,0.067674728
25,regular,2,902,8108,3668,0.100110988,0.197374179,4.8309,0.132842415
25,irregular,2,182,30188,18304,0.005992756,0.009845288,-87.3043,0.007450467
25,semiregular,2,642,11505,643,0.052852556,0.499610895,0.2103,0.095592615
25,regular,3,890,10275,2682,0.07971339,0.249160134,3.7759,0.12078442
25,irregular,3,193,41277,154,0.004653967,0.556195965,1.6763,0.009230696
25,semiregular,3,690,15492,6935,0.04263997,0.090491803,10.6198,0.057966144
26,regular,1,940,7564,4100,0.110536218,0.186507937,5.1168,0.138806852
26,irregular,1,186,33412,4848,0.005536044,0.036948749,23.5234,0.009629323
26,semiregular,1,674,13417,5856,0.047831949,0.103215926,9.0694,0.065370254
26,regular,2,975,7678,3102,0.112677684,0.239146431,4.1391,0.153181461
26,irregular,2,189,36006,16002,0.005221716,0.011673152,75.6589,0.007215668
26,semiregular,2,669,12791,3863,0.049702823,0.147616946,6.2944,0.074366385
26,regular,3,858,3341,739,0.204334365,0.537257358,0.3787,0.296066253
26,irregular,3,207,24171,1160,0.008491263,0.151426481,-4.3879,0.016080792
26,semiregular,3,656,11554,2858,0.053726454,0.186681844,4.8806,0.083439328
27,regular,1,1120,14297,7208,0.072647078,0.134486071,7.1424,0.09433565
27,irregular,1,241,51461,12204,0.004661328,0.019365207,46.0926,0.007513991
27,semiregular,1,664,17120,3097,0.037336932,0.17654879,5.1662,0.061638431
27,regular,2,1039,9460,2373,0.098961806,0.304513482,2.9262,0.14937819
27,irregular,2,235,46266,5305,0.005053655,0.042418773,20.5185,0.009031341
27,semiregular,2,681,10864,2341,0.058986574,0.225347452,4.1511,0.093499005
27,regular,3,1097,7673,2642,0.125085519,0.293393956,3.2067,0.175393717
27,irregular,3,252,42893,1152,0.005840769,0.179487179,-3.2,0.011313385
27,semiregular,3,689,19574,10288,0.034002862,0.062767605,15.0783,0.044110115
28,regular,1,1042,10408,4685,0.091004367,0.181945172,5.2158,0.121325028
28,irregular,1,267,79261,33442,0.003357308,0.007920733,115.0478,0.004715773
28,semiregular,1,808,13345,2461,0.05709037,0.247170388,3.8056,0.092756285
28,regular,2,1066,7023,2936,0.131783904,0.266366817,3.6448,0.176329501
28,irregular,2,257,91752,46686,0.002793205,0.005474725,160.215,0.003699119
28,semiregular,2,813,11742,4395,0.064755078,0.156105991,6.0629,0.091538591
28,regular,3,1018,11999,1893,0.078205424,0.349708004,2.6512,0.127825213
28,irregular,3,282,66707,26503,0.004209646,0.010528281,91.4164,0.00601446
28,semiregular,3,807,15578,5783,0.049252365,0.12245827,7.6717,0.070250272
29,regular,1,1086,8126,4032,0.117889709,0.212192263,4.4895,0.151570133
29,irregular,1,223,37350,6170,0.005935113,0.034881902,25.8826,0.010144202
29,semiregular,1,805,16163,4754,0.047442244,0.144810218,6.397,0.071469792
29,regular,2,1046,7102,3472,0.128375061,0.231518371,3.9632,0.165166588
29,irregular,2,230,30266,5053,0.007541973,0.04353587,21.3887,0.012856704
29,semiregular,2,795,16088,3870,0.047088788,0.170418006,5.3682,0.073788751
29,regular,3,1088,16638,10426,0.061378766,0.09449366,10.1,0.074418605
29,irregular,3,235,42930,12261,0.005444226,0.018806018,50.5911,0.008443973
29,semiregular,3,835,18795,9464,0.042536933,0.081075833,11.8516,0.055798724
30,regular,1,971,9836,5084,0.089849172,0.160363336,6.0732,0.115170205
30,irregular,1,223,189480,143458,0.001175522,0.001552049,574.724,0.001337797
30,semiregular,1,768,14512,4976,0.05026178,0.133704735,7.0914,0.073059361
30,regular,2,919,4090,947,0.183469754,0.49249732,1.8716,0.267345455
30,irregular,2,217,319194,250777,0.000679375,0.000864562,1003.976,0.000760863
30,semiregular,2,767,15476,8471,0.047220341,0.083026629,11.4049,0.060201719
30,regular,3,899,5224,2083,0.146823453,0.30147552,2.991,0.197473915
30,irregular,3,239,160665,103968,0.001485358,0.002293512,416.828,0.001803018
30,semiregular,3,748,10468,1700,0.066690442,0.305555556,3.0222,0.109484778
,,,,,,,AVG,18.66,0.09
,,,,,,,AVG REG,3.39,0.18
,,,,,,,AVG 1,20.99,0.08
,,,,,,,AVG 2,20.67,0.10
,,,,,,,AVG 3,14.32,0.10
